LIBELLE_ARRET,ligne_res
DENFERT-ROCHEREAU,METRO 4
ETIENNE-MARCEL,METRO 4
GARE DE L'EST,METRO 4
GARE DU NORD,METRO 4
LES HALLES,METRO 4
MARCADET-POISSONNIERS,METRO 4
MONTPARNASSE,METRO 4
MOUTON-DUVERNET,METRO 4
ODEON,METRO 4
PORTE D'ORLEANS,METRO 4
PORTE DE CLIGNANCOURT,METRO 4
RASPAIL,METRO 4
REAUMUR-SEBASTOPOL,METRO 4
SAINT-GERMAIN-DES-PRES,METRO 4
SAINT-MICHEL,METRO 4
SAINT-PLACIDE,METRO 4
SAINT-SULPICE,METRO 4
SIMPLON,METRO 4
STRASBOURG-SAINT-DENIS,METRO 4
VAVIN,METRO 4
BARBARA       ,METRO 4
ALESIA        ,METRO 4
CHATEAU D'EAU ,METRO 4
CHATEAU ROUGE ,METRO 4
CHATELET      ,METRO 4
CITE          ,METRO 4
ETIENNE MARCEL,METRO 4
GARE DE L'EST ,METRO 4
GARE DU NORD  ,METRO 4
LES HALLES    ,METRO 4
MONTPARNASSE  ,METRO 4
ODEON         ,METRO 4
RASPAIL       ,METRO 4
SAINT-MICHEL  ,METRO 4
SAINT-PLACIDE ,METRO 4
SAINT-SULPICE ,METRO 4
SIMPLON       ,METRO 4
VAVIN         ,METRO 4
BARBARA,METRO 4
SAINT-MICHEL NOTRE DAME,METRO 4
M. MONTROUGE  ,METRO 4
BASTILLE,METRO 5
BOBIGNY-PABLO PICASSO,METRO 5
BREGUET-SABIN,METRO 5
CAMPO-FORMIO,METRO 5
EGLISE DE PANTIN,METRO 5
GARE DE L'EST,METRO 5
GARE DU NORD,METRO 5
HOCHE,METRO 5
JACQUES BONSERGENT,METRO 5
JAURES,METRO 5
LAUMIERE,METRO 5
OBERKAMPF,METRO 5
OURCQ,METRO 5
PLACE D'ITALIE,METRO 5
PORTE DE PANTIN,METRO 5
QUAI DE LA RAPEE,METRO 5
REPUBLIQUE,METRO 5
RICHARD LENOIR,METRO 5
SAINT-MARCEL,METRO 5
STALINGRAD,METRO 5
BASTILLE      ,METRO 5
BREGUET-SABIN ,METRO 5
CAMPO-FORMIO  ,METRO 5
GARE DE L'EST ,METRO 5
GARE DU NORD  ,METRO 5
HOCHE         ,METRO 5
JAURES        ,METRO 5
LAUMIERE      ,METRO 5
OBERKAMPF     ,METRO 5
OURCQ         ,METRO 5
REPUBLIQUE    ,METRO 5
SAINT-MARCEL  ,METRO 5
STALINGRAD    ,METRO 5
AUSTERLITZ,METRO 5
BOBIGNY-PANTIN (RAYMOND QUENEAU),METRO 5
BEL-AIR,METRO 6
BERCY,METRO 6
BIR-HAKEIM (GRENELLE),METRO 6
BOISSIERE,METRO 6
CAMBRONNE,METRO 6
CHARLES DE GAULLE ETOILE,METRO 6
CHEVALERET,METRO 6
CORVISART,METRO 6
DAUMESNIL,METRO 6
DENFERT-ROCHEREAU,METRO 6
DUGOMMIER,METRO 6
DUPLEIX,METRO 6
EDGAR QUINET,METRO 6
GLACIERE,METRO 6
KLEBER,METRO 6
LA MOTTE-PICQUET-GRENELLE,METRO 6
MONTPARNASSE,METRO 6
NATION,METRO 6
NATIONALE,METRO 6
PASSY,METRO 6
PASTEUR,METRO 6
PICPUS,METRO 6
PLACE D'ITALIE,METRO 6
QUAI DE LA GARE,METRO 6
RASPAIL,METRO 6
SAINT-JACQUES,METRO 6
SEVRES-LECOURBE,METRO 6
TROCADERO,METRO 6
BEL AIR       ,METRO 6
BERCY         ,METRO 6
BIR-HAKEIM    ,METRO 6
BOISSIERE     ,METRO 6
CAMBRONNE     ,METRO 6
CHEVALERET    ,METRO 6
CORVISART     ,METRO 6
DAUMESNIL     ,METRO 6
DUGOMMIER     ,METRO 6
DUPLEIX       ,METRO 6
EDGAR QUINET  ,METRO 6
GLACIERE      ,METRO 6
KLEBER        ,METRO 6
MONTPARNASSE  ,METRO 6
NATION        ,METRO 6
NATIONALE     ,METRO 6
PASSY         ,METRO 6
PASTEUR       ,METRO 6
PICPUS        ,METRO 6
RASPAIL       ,METRO 6
SAINT-JACQUES ,METRO 6
TROCADERO     ,METRO 6
BEL AIR,METRO 6
BIR-HAKEIM,METRO 6
CADET,METRO 7
CENSIER-DAUBENTON,METRO 7
CHATEAU-LANDON,METRO 7
CHATELET,METRO 7
CORENTIN CARIOU,METRO 7
CRIMEE,METRO 7
FORT D'AUBERVILLIERS,METRO 7
GARE DE L'EST,METRO 7
JUSSIEU,METRO 7
LA COURNEUVE 8 MAI 1945,METRO 7
LE KREMLIN-BICETRE,METRO 7
LE PELETIER,METRO 7
LES GOBELINS,METRO 7
LOUIS BLANC,METRO 7
MAIRIE D'IVRY,METRO 7
MAISON BLANCHE,METRO 7
OPERA,METRO 7
PALAIS ROYAL-MUSEE DU LOUVRE,METRO 7
PLACE D'ITALIE,METRO 7
PLACE MONGE (JARDIN DES PLANTES),METRO 7
POISSONNIERE,METRO 7
PONT-MARIE (CITE DES ARTS),METRO 7
PONT-NEUF (LA MONNAIE),METRO 7
PORTE D'ITALIE,METRO 7
PORTE D'IVRY,METRO 7
PORTE DE CHOISY,METRO 7
PORTE DE LA VILLETTE,METRO 7
PYRAMIDES,METRO 7
RIQUET,METRO 7
STALINGRAD,METRO 7
SULLY-MORLAND,METRO 7
TOLBIAC,METRO 7
VILLEJUIF-LEO LAGRANGE,METRO 7
VILLEJUIF-LOUIS ARAGON,METRO 7
VILLEJUIF-PAUL VAILLANT-COUTURIER,METRO 7
CADET         ,METRO 7
CHATELET      ,METRO 7
CRIMEE        ,METRO 7
GARE DE L'EST ,METRO 7
JUSSIEU       ,METRO 7
LE PELETIER   ,METRO 7
LES GOBELINS  ,METRO 7
LOUIS BLANC   ,METRO 7
